DateTime,Open,High,Low,Close,Avg_Volume
2017-08-11 13:18,357.5353,357.6,357.42,357.42,2905183
2017-08-11 13:19,357.539,357.61,357.4,357.4,2910566
2017-08-11 13:20,357.43,357.43,357.3612,357.3612,2915401
2017-08-11 13:21,357.3794,357.3794,357.0,357.0,2922222
2017-08-11 13:22,357.0,357.26,356.69,356.69,2930593
2017-08-11 13:23,356.72,356.72,356.7059,356.7059,2935380
2017-08-11 13:24,356.79,356.79,356.79,356.79,2937465
2017-08-11 13:25,356.9636,356.9636,356.72,356.76,2938731
2017-08-11 13:26,356.99,357.0341,356.99,357.03,2941034
2017-08-11 13:27,356.91,356.91,356.89,356.89,2942831
2017-08-11 13:28,357.15,357.15,356.79,356.79,2958126
2017-08-11 13:29,356.7,356.72,356.6625,356.6625,2970375
2017-08-11 13:30,356.68,356.82,356.68,356.81,2974341
2017-08-11 13:31,356.8,357.05,356.8,356.8932,2979685
2017-08-11 13:32,356.84,357.12,356.84,357.04,2985717
2017-08-11 13:33,357.0716,357.0716,356.84,356.84,2989636
2017-08-11 13:34,356.86,357.209,356.86,357.209,2995195
2017-08-11 13:35,357.01,357.01,357.01,357.01,2998919
2017-08-11 13:36,357.1675,357.22,357.12,357.22,3006252
2017-08-11 13:37,357.025,357.14,357.025,357.05,3011377
2017-08-11 13:38,357.15,357.15,357.15,357.15,3018680
2017-08-11 13:39,357.25,357.3326,357.13,357.13,3025277
2017-08-11 13:40,357.13,357.46,357.13,357.46,3030169
2017-08-11 13:41,357.37,357.4,357.28,357.28,3040409
2017-08-11 13:42,357.49,357.49,357.3001,357.4325,3045805
2017-08-11 13:43,357.39,357.4016,357.34,357.34,3048230
2017-08-11 13:44,357.34,357.419,357.34,357.419,3049202
2017-08-11 13:45,357.31,357.39,357.25,357.25,3051254
2017-08-11 13:46,357.4,357.44,357.39,357.44,3056476
2017-08-11 13:47,357.3,357.5,357.24,357.5,3060523
2017-08-11 13:48,357.7599,357.8682,357.71,357.8682,3072796
2017-08-11 13:49,357.88,357.88,357.74,357.74,3076307
2017-08-11 13:50,357.9248,357.9248,357.77,357.77,3079860
2017-08-11 13:51,357.76,357.81,357.71,357.71,3082399
2017-08-11 13:52,357.71,357.8857,357.71,357.8857,3083319
2017-08-11 13:53,357.89,357.89,357.54,357.54,3085233
2017-08-11 13:54,357.54,357.6,357.51,357.6,3088508
2017-08-11 13:55,357.59,357.72,357.54,357.72,3093446
2017-08-11 13:56,357.72,357.9,357.72,357.9,3096235
2017-08-11 13:57,357.9,357.9,357.9,357.9,3097358
2017-08-11 13:58,357.7105,357.7105,357.68,357.68,3098827
2017-08-11 13:59,357.6,357.6,357.391,357.391,3102880
2017-08-11 14:00,357.34,357.53,357.34,357.53,3106644
2017-08-11 14:01,357.31,357.645,357.31,357.63,3109624
2017-08-11 14:02,357.61,357.66,357.61,357.66,3111881
2017-08-11 14:03,357.5559,357.5559,357.36,357.36,3113632
2017-08-11 14:04,357.53,357.53,357.47,357.47,3115902
2017-08-11 14:05,357.31,357.36,357.3,357.3,3117846
2017-08-11 14:06,357.3,357.44,357.2925,357.2925,3120459
2017-08-11 14:07,357.3684,357.44,357.3647,357.44,3123034
2017-08-11 14:08,357.44,357.44,357.31,357.31,3124818
2017-08-11 14:09,357.32,357.4,357.32,357.4,3129761
2017-08-11 14:10,357.31,357.333,357.25,357.33,3135896
2017-08-11 14:11,357.39,357.44,357.38,357.39,3140559
2017-08-11 14:12,357.5388,357.6135,357.43,357.61,3148708
2017-08-11 14:13,357.738,357.77,357.5,357.5,3157488
2017-08-11 14:14,357.5,357.73,357.43,357.58,3172077
2017-08-11 14:15,357.64,357.98,357.64,357.86,3185536
2017-08-11 14:16,357.97,357.97,357.66,357.66,3197430
2017-08-11 14:17,357.64,357.88,357.63,357.88,3208490
2017-08-11 14:18,357.89,357.92,357.74,357.85,3222559
2017-08-11 14:19,357.95,357.95,357.7895,357.85,3224570
2017-08-11 14:20,358.19,358.19,358.0191,358.11,3229079
2017-08-11 14:21,357.78,358.0899,357.78,358.0899,3231920
2017-08-11 14:22,358.09,358.1,358.0699,358.1,3233329
2017-08-11 14:23,357.95,358.1499,357.9484,358.1499,3235852
