DateTime,Open,High,Low,Close,Avg_Volume
2017-08-10 13:11,156.9328,156.94,156.89,156.9,22408051
2017-08-10 13:12,156.89,156.94,156.89,156.94,22452397
2017-08-10 13:13,156.909,156.95,156.87,156.87,22486582
2017-08-10 13:14,156.8,156.8,156.78,156.789,22536752
2017-08-10 13:15,156.82,156.82,156.72,156.72,22592822
2017-08-10 13:16,156.7,156.7672,156.7,156.7672,22675206
2017-08-10 13:17,156.752,156.752,156.7,156.71,22717252
2017-08-10 13:18,156.7493,156.84,156.7493,156.84,22739158
2017-08-10 13:19,156.86,156.92,156.86,156.92,22777656
2017-08-10 13:20,156.89,156.9,156.8699,156.88,22817418
2017-08-10 13:21,156.92,157.0,156.92,156.94,22861093
2017-08-10 13:22,156.94,157.0784,156.94,157.0784,22917382
2017-08-10 13:23,157.1,157.1,157.0547,157.0547,22988173
2017-08-10 13:24,157.13,157.21,157.13,157.1999,23055036
2017-08-10 13:25,157.1299,157.1728,157.1299,157.1537,23134927
2017-08-10 13:26,157.1801,157.25,157.18,157.18,23200449
2017-08-10 13:27,157.15,157.18,157.12,157.14,23281525
2017-08-10 13:28,157.15,157.2311,157.15,157.2311,23312775
2017-08-10 13:29,157.29,157.3699,157.29,157.3699,23383907
2017-08-10 13:30,157.36,157.45,157.36,157.43,23449648
2017-08-10 13:31,157.3706,157.4054,157.34,157.34,23516365
2017-08-10 13:32,157.34,157.35,157.33,157.33,23563183
2017-08-10 13:33,157.34,157.34,157.3099,157.31,23601479
2017-08-10 13:34,157.3147,157.37,157.3147,157.3564,23644651
2017-08-10 13:35,157.31,157.33,157.21,157.21,23720960
2017-08-10 13:36,157.26,157.26,157.16,157.16,23811170
2017-08-10 13:37,157.1255,157.15,157.1255,157.14,23863478
2017-08-10 13:38,157.14,157.15,157.12,157.12,23887201
2017-08-10 13:39,157.12,157.17,157.12,157.15,23927651
2017-08-10 13:40,157.205,157.22,157.1,157.1,23963417
