DateTime,Open,High,Low,Close,Avg_Volume
2017-09-08 12:07,164.06,164.06,163.98,163.98,6856668
2017-09-08 12:08,163.9903,164.08,163.9903,164.0451,6868213
2017-09-08 12:09,164.1,164.1,164.02,164.02,6881075
2017-09-08 12:10,164.04,164.04,163.83,163.83,6902520
2017-09-08 12:11,163.92,163.93,163.85,163.85,6935273
2017-09-08 12:12,163.92,163.98,163.92,163.98,6943515
2017-09-08 12:13,163.98,163.98,163.898,163.92,6952576
2017-09-08 12:14,163.93,163.93,163.8306,163.86,6961008
2017-09-08 12:15,163.8,163.8,163.7906,163.7912,6978477
2017-09-08 12:16,163.72,163.72,163.65,163.67,6992363
