DateTime,Open,High,Low,Close,Avg_Volume
2017-08-29 11:08,917.0,917.115,917.0,917.06,318668
2017-08-29 11:09,917.11,917.88,917.11,917.88,321187
2017-08-29 11:10,917.53,917.83,917.53,917.83,323623
2017-08-29 11:11,917.83,917.8977,917.83,917.8977,325905
2017-08-29 11:12,917.83,917.83,917.59,917.59,327471
2017-08-29 11:13,917.59,918.1,917.59,918.1,330052
2017-08-29 11:14,917.92,918.18,917.92,918.18,332919
2017-08-29 11:15,917.86,918.07,917.86,918.0,338524
2017-08-29 11:16,917.665,917.97,917.665,917.97,341868
2017-08-29 11:17,917.99,917.99,917.88,917.88,344716
